Time,X(CH1),X(CH2),
Second,Volt,Volt,
-4.0800018e+00,-4.00001e-03,-4.00007e-03,
-4.0600019e+00,3.99998e-03,-5.96046e-08,
-4.0400019e+00,3.99998e-03,-4.00007e-03,
-4.0200019e+00,-4.00001e-03,3.99995e-03,
-4.0000019e+00,3.99998e-03,-4.00007e-03,
-3.9800019e+00,-4.00001e-03,-5.96046e-08,
-3.9600019e+00,-0.00000e+00,-5.96046e-08,
-3.9400020e+00,-4.00001e-03,-4.00007e-03,
-3.9200020e+00,3.99998e-03,-5.96046e-08,
-3.9000020e+00,-4.00001e-03,-4.00007e-03,
-3.8800020e+00,-0.00000e+00,-4.00007e-03,
-3.8600020e+00,3.99998e-03,-5.96046e-08,
-3.8400021e+00,-0.00000e+00,-5.96046e-08,
-3.8200021e+00,3.99998e-03,-4.00007e-03,
-3.8000021e+00,3.99998e-03,-4.00007e-03,
-3.7800021e+00,-4.00001e-03,-5.96046e-08,
-3.7600021e+00,-4.00001e-03,-4.00007e-03,
-3.7400022e+00,3.99998e-03,3.99995e-03,
-3.7200022e+00,-0.00000e+00,-4.00007e-03,
-3.7000022e+00,-4.00001e-03,-5.96046e-08,
-3.6800022e+00,-4.00001e-03,-4.00007e-03,
-3.6600022e+00,3.99998e-03,-5.96046e-08,
-3.6400023e+00,3.99998e-03,-5.96046e-08,
-3.6200023e+00,-4.00001e-03,-4.00007e-03,
-3.6000023e+00,-0.00000e+00,-4.00007e-03,
-3.5800023e+00,-4.00001e-03,-5.96046e-08,
-3.5600023e+00,-4.00001e-03,-5.96046e-08,
-3.5400023e+00,3.99998e-03,-4.00007e-03,
-3.5200024e+00,-4.00001e-03,-4.00007e-03,
-3.5000024e+00,3.99998e-03,3.99995e-03,
-3.4800024e+00,3.99998e-03,-4.00007e-03,
-3.4600024e+00,-4.00001e-03,-5.96046e-08,
-3.4400024e+00,-4.00001e-03,-4.00007e-03,
-3.4200025e+00,2.40000e-02,2.39999e-02,
-3.4000025e+00,3.99998e-03,-4.00007e-03,
-3.3800025e+00,-4.00001e-03,-5.96046e-08,
-3.3600025e+00,-4.00001e-03,-4.00007e-03,
-3.3400025e+00,3.99998e-03,3.99995e-03,
-3.3200026e+00,-4.00001e-03,-4.00007e-03,
-3.3000026e+00,3.99998e-03,3.99995e-03,
-3.2800026e+00,-0.00000e+00,-4.00007e-03,
-3.2600026e+00,-4.00001e-03,-5.96046e-08,
-3.2400026e+00,-4.00001e-03,-5.96046e-08,
-3.2200027e+00,3.99998e-03,-4.00007e-03,
-3.2000027e+00,-0.00000e+00,-4.00007e-03,
-3.1800027e+00,-4.00001e-03,-5.96046e-08,
-3.1600027e+00,-4.00001e-03,-4.00007e-03,
-3.1400027e+00,3.99998e-03,-5.96046e-08,
-3.1200027e+00,-4.00001e-03,-4.00007e-03,
-3.1000028e+00,-0.00000e+00,-5.96046e-08,
-3.0800028e+00,-0.00000e+00,-4.00007e-03,
-3.0600028e+00,-4.00001e-03,-5.96046e-08,
-3.0400028e+00,-0.00000e+00,-4.00007e-03,
-3.0200028e+00,3.99998e-03,-5.96046e-08,
-3.0000029e+00,3.99998e-03,-4.00007e-03,

